,acc,task
Forearm to table,70.83333333333334,Forearm to table
Forearm to Box,72.22222222222221,Forearm to Box
Extend Elbow 1,69.44444444444444,Extend Elbow 1
Extend Elbow 2,73.61111111111111,Extend Elbow 2
Hand to the Table,58.333333333333336,Hand to the Table
Hand to the Box,83.33333333333334,Hand to the Box
Reach and Retrieve,61.111111111111114,Reach and Retrieve
Lift a can,59.72222222222222,Lift a can
Lift a Pencil,63.888888888888886,Lift a Pencil
Lift a Paper Clip,66.66666666666666,Lift a Paper Clip
Stack Checkers,66.66666666666666,Stack Checkers
Flip Cards,63.888888888888886,Flip Cards
Turn Key,56.94444444444444,Turn Key
Fold Towel,69.44444444444444,Fold Towel
Lift Baskets,77.77777777777779,Lift Baskets
