,acc,task
Forearm to table,65.27777777777779,Forearm to table
Forearm to Box,65.27777777777779,Forearm to Box
Extend Elbow 1,59.72222222222222,Extend Elbow 1
Extend Elbow 2,69.44444444444444,Extend Elbow 2
Hand to the Table,66.66666666666666,Hand to the Table
Hand to the Box,68.05555555555556,Hand to the Box
Reach and Retrieve,59.72222222222222,Reach and Retrieve
Lift a can,62.5,Lift a can
Lift a Pencil,68.05555555555556,Lift a Pencil
Lift a Paper Clip,70.83333333333334,Lift a Paper Clip
Stack Checkers,76.38888888888889,Stack Checkers
Flip Cards,62.5,Flip Cards
Turn Key,63.888888888888886,Turn Key
Fold Towel,75.0,Fold Towel
Lift Baskets,70.83333333333334,Lift Baskets
