,acc,task
Forearm to table,75.0,Forearm to table
Forearm to Box,65.27777777777779,Forearm to Box
Extend Elbow 1,69.44444444444444,Extend Elbow 1
Extend Elbow 2,68.05555555555556,Extend Elbow 2
Hand to the Table,66.66666666666666,Hand to the Table
Hand to the Box,70.83333333333334,Hand to the Box
Reach and Retrieve,75.0,Reach and Retrieve
Lift a can,75.0,Lift a can
Lift a Pencil,80.55555555555556,Lift a Pencil
Lift a Paper Clip,70.83333333333334,Lift a Paper Clip
Stack Checkers,76.38888888888889,Stack Checkers
Flip Cards,68.05555555555556,Flip Cards
Turn Key,55.55555555555556,Turn Key
Fold Towel,65.27777777777779,Fold Towel
Lift Baskets,81.94444444444444,Lift Baskets
